year,month,day,pressure_e,temperature_e,wind_e,pressure_t,temperature_t,wind_t,morning_s,afternoon_s,morning_r,afternoon_r
1813,1,1,26.08,3.2,s,26.09,4,s,0,0,0,0
1813,1,2,26.11,3.2,s,26.11,3,s,0,0,0,0
1813,1,3,26.15,2.6,n,26.2,3.2,n,1,0,0,0
1813,1,4,26.22,2.8,n,26.21,3.8,n,0,0,0,0
1813,1,5,26.17,2.8,s,26.17,3,so,0,0,0,0
1813,1,6,26.19,1.2,n,26.16,3.2,s,0,0,0,0
1813,1,7,26.13,0.8,s,26.09,2,sw,0,0,0,0
1813,1,8,25.92,1.6,s,25.86,3.2,w,0,0,0,0
1813,1,9,25.85,3.6,no,25.85,3.8,no,0,1,1,0
1813,1,10,25.85,2.8,no,25.78,3,no,1,1,0,0
1813,1,11,25.74,1.8,o,25.74,2,n,1,0,0,0
1813,1,12,25.78,1.8,o,25.79,3.6,no,1,1,0,0
1813,1,13,25.8,0.8,o,25.85,1.8,no,0,0,0,0
1813,1,14,25.9,-1.1,o,25.91,1,o,0,0,0,0
1813,1,15,26.01,0,o,26.06,1.8,o,0,0,0,0
1813,1,16,26.1,0.4,o,26.11,0,o,0,0,0,0
1813,1,17,26.14,-1,o,26.13,0,o,0,0,0,0
1813,1,18,26.13,-1.8,o,26.11,-0.8,o,0,0,0,0
1813,1,19,26.2,-4,o,26.02,-1.8,o,0,0,0,0
1813,1,20,26.08,-1.8,o,26.09,-1.8,o,0,0,0,0
1813,1,21,26.08,-2.6,o,26.09,-2.4,o,0,0,0,0
1813,1,22,26.18,-3.6,o,26.16,-2.4,no,0,0,0,0
1813,1,23,26.1,-5,o,26.1,-2.6,o,0,0,0,0
1813,1,24,26.16,-4.8,o,26.17,-3.8,o,0,1,0,0
1813,1,25,26.16,-4,o,26.17,-3.8,o,1,1,0,0
1813,1,26,26.26,-4.6,o,26.26,-3.2,o,0,0,0,0
1813,1,27,26.26,-3.8,o,26.23,-2,o,0,0,0,0
1813,1,28,26.21,-2.6,o,26.2,-2,o,0,1,0,0
1813,1,29,26.09,-2,o,26.08,-0.8,o,1,1,0,0
1813,1,30,26.14,-0.2,o,26.21,-0.2,no,0,1,0,0
1813,1,31,26.2,-1.8,no,26.19,0,no,0,0,0,0
1813,2,1,26.15,0.6,sw,26.1,1.6,sw,1,1,0,0
1813,2,2,26.12,-0.8,o,26.13,-0.6,o,0,0,0,0
1813,2,3,26.19,-2,n,26.25,0,no,0,0,0,0
1813,2,4,26.3,0,nw,26.3,2,w,0,0,0,0
1813,2,5,26.28,1.4,n,26.19,3.8,no,0,0,0,0
1813,2,6,26.1,1.4,sw,26.08,3.8,s,0,0,0,0
1813,2,7,26.16,3,s,26.21,4,sw,0,1,0,0
1813,2,8,26.29,3.8,sw,26.28,5.8,sw,0,0,0,0
1813,2,9,26.2,5,sw,26.16,6,sw,0,0,0,0
1813,2,10,26.15,6,sw,26.13,7,sw,0,0,0,1
1813,2,11,26.17,6.4,s,26.15,6.8,s,0,0,1,0
1813,2,12,26.13,6.2,so,26.09,7.2,sw,0,0,0,0
1813,2,13,25.92,6.2,s,25.8,8,s,0,0,0,1
1813,2,14,26.01,7.2,s,25.92,8.6,s,0,0,0,0
1813,2,15,25.86,6.2,s,25.96,7.8,s,0,0,0,0
1813,2,16,25.91,7.2,sw,25.88,8,sw,0,0,0,0
1813,2,17,25.92,8,w,25.93,8,sw,0,0,1,0
1813,2,18,25.93,8.4,sw,26.03,9.6,w,0,0,1,1
1813,2,19,26.23,9.2,sw,26.22,10,o,0,0,1,0
1813,2,20,26.15,8,s,26.25,10,w,0,0,0,0
1813,2,21,26.3,8,sw,26.3,11.2,o,0,0,0,0
1813,2,22,26.23,8.6,so,26.17,11.4,so,0,0,0,0
1813,2,23,26.16,9.4,s,26.14,11,w,0,0,0,0
1813,2,24,26.21,10.4,sw,26.22,10,sw,0,0,1,1
1813,2,25,26.27,8.8,no,26.33,9.2,w,0,0,0,0
1813,2,26,26.36,7.8,sw,26.3,9,w,0,0,0,0
1813,2,27,26.15,7.4,sw,26.26,7.8,w,0,0,1,1
1813,2,28,26.27,7,w,26.25,8,w,1,1,0,0
1813,3,1,26.42,7,sw,26.46,6.8,w,0,0,0,0
1813,3,2,26.43,6,sw,26.4,7.2,w,0,0,0,0
1813,3,3,26.31,6.2,sw,26.24,6.4,w,0,0,0,0
1813,3,4,26.19,6.4,s,26.28,6.6,w,0,1,1,0
1813,3,5,26.37,5.8,no,26.35,8,o,0,0,0,0
1813,3,6,26.35,6.4,sw,26.32,7.2,sw,0,0,1,0
1813,3,7,26.37,8.4,w,26.37,8.2,w,0,0,0,0
1813,3,8,26.21,5.8,sw,26.14,6.4,nw,1,0,0,1
1813,3,9,2.608,6.4,w,26.04,6.6,w,1,1,0,0
1813,3,10,25.83,6.4,w,25.75,6,no,1,1,0,0
1813,3,11,25.78,5.4,n,25.86,6.4,no,0,0,0,0
1813,3,12,25.85,3.2,o,25.95,5.4,no,0,0,0,0
1813,3,13,26,3.2,no,26.05,3.8,o,0,1,0,0
1813,3,14,26.02,2.8,o,26.13,3,o,1,1,0,0
1813,3,15,26.13,2.2,o,26.12,3,no,0,0,0,0
1813,3,16,26.02,2,o,26.03,4.4,o,0,0,0,0
1813,3,17,25.89,3.4,o,25.89,4.6,so,0,0,0,0
1813,3,18,25.85,3.8,so,25.92,6.4,so,0,0,0,0
1813,3,19,25.95,5.2,s,25.97,7.6,s,0,0,0,0
1813,3,20,26.01,6.4,so,26.01,9.2,o,0,0,0,0
1813,3,21,26.1,7.6,s,26.14,8.2,s,0,0,0,0
1813,3,22,26.08,8,s,26.03,8.4,sw,0,0,1,1
1813,3,23,26.06,8.2,s,26.17,8.8,sw,0,0,1,1
1813,3,24,26.17,8.4,no,26.2,8,w,0,0,1,1
1813,3,25,26.24,7.6,w,26.25,8,o,1,0,0,0
1813,3,26,26.23,7,o,26.23,7.8,no,0,0,0,0
1813,3,27,26.34,7,w,26.4,9.4,no,0,0,0,0
1813,3,28,26.4,7.4,o,26.37,12,no,0,0,0,0
1813,3,29,26.34,7.4,o,26.28,10.2,no,0,0,0,0
1813,3,30,26.18,7.8,o,26.1,13,o,0,0,0,0
1813,3,31,26.05,8.8,w,26,13.6,sw,0,0,0,0
1813,4,1,25.97,11.2,s,25.82,14,w,0,0,0,0
1813,4,2,25.76,11,sw,25.68,12.8,so,0,0,0,0
1813,4,3,25.81,10,w,25.96,6.4,sw,1,1,0,0
1813,4,4,25.98,6.8,sw,26.03,11.4,sw,1,0,0,0
1813,4,5,26,8.4,so,26.16,11,sw,0,1,0,0
1813,4,6,26.15,6.2,so,26.14,9.6,o,0,0,0,0
1813,4,7,26.08,6.6,o,26.01,12,o,0,0,0,0
1813,4,8,26.01,8,s,26.03,12.2,o,0,0,0,0
1813,4,9,26.09,8.8,so,26.07,13.4,no,0,0,0,0
