year,month,day,pressure_e,temperature_e,wind_e,pressure_t,temperature_t,wind_t,morning_s,afternoon_s,morning_r,afternoon_r,mme,mmt,tempe,tempt
1813,1,1,26.08,3.2,s,26.09,4.0,s,0,0,0,0,9208.733157682558,9212.264113647927,2.5600000000000005,3.2
1813,1,2,26.11,3.2,s,26.11,3.0,s,0,0,0,0,9219.326025578664,9219.326025578664,2.5600000000000005,2.4000000000000004
1813,1,3,26.15,2.6,n,26.2,3.2,n,1,0,0,0,9233.44984944014,9251.104629266987,2.08,2.5600000000000005
1813,1,4,26.22,2.8,n,26.21,3.8,n,0,0,0,0,9258.166541197725,9254.635585232356,2.2399999999999998,3.04
1813,1,5,26.17,2.8,s,26.17,3.0,so,0,0,0,0,9240.51176137088,9240.51176137088,2.2399999999999998,2.4000000000000004
1813,1,6,26.19,1.2,n,26.16,3.2,s,0,0,0,0,9247.573673301617,9236.98080540551,0.96,2.5600000000000005
1813,1,7,26.13,0.8,s,26.09,2.0,sw,0,0,0,0,9226.387937509404,9212.264113647927,0.6400000000000001,1.6
1813,1,8,25.92,1.6,s,25.86,3.2,w,0,0,0,0,9152.237862236652,9131.052126444438,1.2800000000000002,2.5600000000000005
1813,1,9,25.85,3.6,no,25.85,3.8,no,0,1,1,0,9127.521170479069,9127.521170479069,2.8800000000000003,3.04
1813,1,10,25.85,2.8,no,25.78,3.0,no,1,1,0,0,9127.521170479069,9102.804478721484,2.2399999999999998,2.4000000000000004
1813,1,11,25.74,1.8,o,25.74,2.0,n,1,0,0,0,9088.680654860007,9088.680654860007,1.4400000000000002,1.6
1813,1,12,25.78,1.8,o,25.79,3.6,no,1,1,0,0,9102.804478721484,9106.335434686855,1.4400000000000002,2.8800000000000003
1813,1,13,25.8,0.8,o,25.85,1.8,no,0,0,0,0,9109.866390652223,9127.521170479069,0.6400000000000001,1.4400000000000002
1813,1,14,25.9,-1.1,o,25.91,1.0,o,0,0,0,0,9145.175950305911,9148.706906271282,-0.8800000000000001,0.8
1813,1,15,26.01,0.0,o,26.06,1.8,o,0,0,0,0,9184.016465924975,9201.67124575182,0.0,1.4400000000000002
1813,1,16,26.1,0.4,o,26.11,0.0,o,0,0,0,0,9215.795069613296,9219.326025578664,0.32000000000000006,0.0
1813,1,17,26.14,-1.0,o,26.13,0.0,o,0,0,0,0,9229.918893474773,9226.387937509404,-0.8,0.0
